mysql> select song_title, count(song_title) from song, rankingposition where (rank_date between '1972-01-01' and '1972-12-31') and (song_id = rank_songid) group by song_title order by count(song_title) desc;
+--------------------------------------------------------------------------------+-------------------+
| song_title                                                                     | count(song_title) |
| Woman's Gotta Have It                                                          |                 9 |
| Vanilla Olay                                                                   |                 9 |
| Do The Funky Penguin (Part 1)                                                  |                 9 |
| Jubilation                                                                     |                 9 |
| Theme From "The Men"                                                           |                 9 |
| Victim Of A Foolish Heart                                                      |                 9 |
| Until It's Time For You To Go                                                  |                 9 |
| Old Man                                                                        |                 9 |
| If I Were A Carpenter                                                          |                 9 |
| Waking Up Alone                                                                |                 9 |
| I Can't Help Myself (Sugar Pie, Honey Bunch)                                   |                 9 |
| Man Sized Job                                                                  |                 9 |
| Feeling Alright                                                                |                 9 |
| Sunshine                                                                       |                 9 |
| I Didn't Know I Loved You (Till I Saw You Rock And Roll)                       |                 9 |
| Starman                                                                        |                 9 |
| Clean Up Woman                                                                 |                 9 |
| Son Of Shaft                                                                   |                 9 |
| Automatically Sunshine                                                         |                 9 |
| (It's The Way) Nature Planned It                                               |                 9 |
| If You Leave Me Tonight I'll Cry                                               |                 9 |
| Long Dark Road                                                                 |                 9 |
| Diamonds Are Forever                                                           |                 9 |
| America                                                                        |                 9 |
| Lay-Away                                                                       |                 9 |
| The Runway                                                                     |                 9 |
| Put It Where You Want It                                                       |                 9 |
| Your Precious Love                                                             |                 9 |
| The Family Of Man                                                              |                 9 |
| I Had It All The Time                                                          |                 9 |
| Jump Into The Fire                                                             |                 9 |
| Show Me How                                                                    |                 9 |
| No One To Depend On                                                            |                 9 |
| The Coldest Days Of My Life (Part 1)                                           |                 9 |
| Little Bitty Pretty One                                                        |                 9 |
| Brand New Key                                                                  |                 9 |
| Ring The Living Bell                                                           |                 9 |
| Too Young                                                                      |                 9 |
| Hold Her Tight                                                                 |                 9 |
| A Simple Man                                                                   |                 9 |
| How Can I Be Sure                                                              |                 9 |
| Could It Be Forever                                                            |                 9 |
| Toast To The Fool                                                              |                 9 |
| Love Gonna Pack Up (And Walk Out)                                              |                 9 |
| Living In The Past                                                             |                 9 |
| Me And Mrs. Jones                                                              |                 9 |
| I Miss You (Part 1)                                                            |                 9 |
| Amazing Grace                                                                  |                 9 |
| I'll Make You Music                                                            |                 9 |
| Immigration Man                                                                |                 9 |
| Love Me, Love Me Love                                                          |                 9 |
| In Heaven There Is No Beer                                                     |                 9 |
| Poor Boy                                                                       |                 9 |
| (Oh Lord Won't You Buy Me A) Mercedes Benz                                     |                 9 |
| Love Theme From "The Godfather"                                                |                 9 |
| Francene                                                                       |                 9 |
| Keep Playin' That Rock N Roll                                                  |                 9 |
| Butterfly                                                                      |                 9 |
| Honky Tonk (Part 1)                                                            |                 8 |
| Goin' Down (On The Road To L.A.)                                               |                 8 |
| You Said A Bad Word                                                            |                 8 |
| Walk On Water                                                                  |                 8 |
| Tupelo Honey                                                                   |                 8 |
| Mister Can't You See                                                           |                 8 |
| Funk Factory                                                                   |                 8 |
| Money Runner                                                                   |                 8 |
| All The King's Horses                                                          |                 8 |
| You Turn Me On, I'm A Radio                                                    |                 8 |
| Alabama Wild Man                                                               |                 8 |
| Brian's Song                                                                   |                 8 |
| Slaughter                                                                      |                 8 |
| Josie                                                                          |                 8 |
| Drowning In The Sea Of Love                                                    |                 8 |
| Pool Of Bad Luck                                                               |                 8 |
| Levon                                                                          |                 8 |
| Midnight Rider                                                                 |                 8 |
| Your Mama Don't Dance                                                          |                 8 |
| Elected                                                                        |                 8 |
| In The Quiet Morning                                                           |                 8 |
| Your Wonderful, Sweet Sweet Love                                               |                 8 |
| Happy                                                                          |                 8 |
| Take A Look Around                                                             |                 8 |
| Keeper Of The Castle                                                           |                 8 |
| Make Me The Woman That You Go Home To                                          |                 8 |
| Help Me Make It Through The Night                                              |                 8 |
| Can't You Hear The Song?                                                       |                 8 |
| Living In A House Divided                                                      |                 8 |
| Don't Hide Your Love                                                           |                 8 |
| 992 Arguments                                                                  |                 8 |
| Work To Do                                                                     |                 8 |
| In Time                                                                        |                 8 |
| My World                                                                       |                 8 |
| Jambalaya (On The Bayou)                                                       |                 8 |
| If You Can Beat Me Rockin' (You Can Have My Chair)                             |                 8 |
| Someday Never Comes                                                            |                 8 |
| Sweet Surrender                                                                |                 8 |
| Good Time Sally                                                                |                 8 |
| Powder Blue Mercedes Queen                                                     |                 8 |
| Rock Me Baby                                                                   |                 8 |
| You Are Everything                                                             |                 8 |
| Afro-Strut                                                                     |                 8 |
| Hot 'N' Nasty                                                                  |                 8 |
| If You Let Me                                                                  |                 8 |
| Eddie's Love                                                                   |                 8 |
| Scorpio                                                                        |                 8 |
| Convention 72                                                                  |                 8 |
| Give Ireland Back To The Irish                                                 |                 8 |
| Lies                                                                           |                 8 |
| Down To The Nightclub                                                          |                 8 |
| We're On Our Way                                                               |                 8 |
| Mr. Penguin (Part 1)                                                           |                 8 |
| Special Someone                                                                |                 8 |
| Colorado                                                                       |                 8 |
| Gimme Some More                                                                |                 8 |
| Smoke Gets In Your Eyes                                                        |                 8 |
| Superfly                                                                       |                 7 |
| Talking Loud And Saying Nothing (Part 1)                                       |                 7 |
| King Heroin                                                                    |                 7 |
| There It Is (Part 1)                                                           |                 7 |
| I Got A Bag Of My Own                                                          |                 7 |
| Kate                                                                           |                 7 |
| The Young New Mexican Puppeteer                                                |                 7 |
| Duncan                                                                         |                 7 |
| One Night Affair                                                               |                 7 |
| It Doesn't Matter                                                              |                 7 |
| Sitting                                                                        |                 7 |
| I'm Movin' On                                                                  |                 7 |
| Down By The River                                                              |                 7 |
| Superstition                                                                   |                 7 |
| Tiny Dancer                                                                    |                 7 |
| Angel                                                                          |                 7 |
| Guilty                                                                         |                 7 |
| Under My Wheels                                                                |                 7 |
| Changes                                                                        |                 7 |
| Standing In For Jody                                                           |                 7 |
| I Guess I'll Miss The Man                                                      |                 7 |
| Heartbroken Bopper                                                             |                 7 |
| I Will Never Pass This Way Again                                               |                 7 |
| For Emily, Whenever I May Find Her (Live)                                      |                 7 |
| Alive                                                                          |                 7 |
| This World                                                                     |                 7 |
| Smilin'                                                                        |                 7 |
| Pieces Of April                                                                |                 7 |
| Rock And Roll                                                                  |                 7 |
| Sugar Daddy                                                                    |                 7 |
| Am I Losing You                                                                |                 7 |
| Brown Eyed Girl                                                                |                 7 |
| Daisy Mae                                                                      |                 7 |
| The Harder I Try (The Bluer I Get)                                             |                 7 |
| I've Got To Have You                                                           |                 7 |
| The World Is A Ghetto                                                          |                 7 |
| And You And I (Part 2)                                                         |                 7 |
| Beat Me Daddy Eight To The Bar                                                 |                 7 |
| Mary Had A Little Lamb                                                         |                 7 |
| Little Woman Love                                                              |                 7 |
| Louisianna                                                                     |                 7 |
| Pain (Part 1)                                                                  |                 7 |
| Men Of Learning                                                                |                 7 |
| Think (About It)                                                               |                 7 |
| Living Without You                                                             |                 7 |
| Delta Dawn                                                                     |                 7 |
| I Just Want To Make Love To You (Studio)                                       |                 7 |
| Mama Weer All Crazee Now                                                       |                 7 |
| Do It Again                                                                    |                 7 |
| You Can Do Magic                                                               |                 7 |
| Been To Canaan                                                                 |                 6 |
| What Am I Living For                                                           |                 6 |
| Look What They've Done To My Song, Ma                                          |                 6 |
| Bed And Board                                                                  |                 6 |
| Jackie Wilson Said (I'm In Heaven When You Smile)                              |                 6 |
| An American Trilogy (Dixie/Battle Hymn Of the Republic/All My Trials)          |                 6 |
| Love Song                                                                      |                 6 |
| I Got Some Help I Don't Need                                                   |                 6 |
| War Song                                                                       |                 6 |
| Rocky Mountain High                                                            |                 6 |
| Everybody Loves A Love Song                                                    |                 6 |
| I Love You More Than You'll Ever Know                                          |                 6 |
| Handbags And Gladrags                                                          |                 6 |
| Sunday Morning Sunshine                                                        |                 6 |
| Lovin' You, Lovin' Me                                                          |                 6 |
| Way Back Home                                                                  |                 6 |
| Guns, Guns, Guns                                                               |                 6 |
| That's What Love Will Make You Do                                              |                 6 |
| That's What Friends Are For                                                    |                 6 |
| Family Affair                                                                  |                 6 |
| It's One Of Those Nights (Yes Love)                                            |                 6 |
| Country Wine                                                                   |                 6 |
| Ajax Airlines                                                                  |                 6 |
| Nutrocker                                                                      |                 6 |
| Five Hundred Miles                                                             |                 6 |
| Carry Me, Carrie                                                               |                 6 |
| I Wanna Be With You                                                            |                 6 |
| Once You Understand                                                            |                 6 |
| I'm Sorry                                                                      |                 6 |
| Lookin' For A Love                                                             |                 6 |
| Those Were The Days                                                            |                 6 |
| White Lies                                                                     |                 6 |
| Best Thing                                                                     |                 6 |
| Questions                                                                      |                 6 |
| Why Can't We Live Together                                                     |                 6 |
| Woman Is The Nigger Of The World                                               |                 5 |
| Reelin And Rocking (Live)                                                      |                 5 |
| With Pen In Hand                                                               |                 5 |
| Love's Street And Fool's Road                                                  |                 5 |
| Everybody Knows About My Good Thing (Part 1)                                   |                 5 |
| You're The Man (Part 1)                                                        |                 5 |
| A Sunday Kind Of Love                                                          |                 5 |
| Separate Ways                                                                  |                 5 |
| Another Puff                                                                   |                 5 |
| Ain't Nobody Home                                                              |                 5 |
| I Wrote A Simple Song                                                          |                 5 |
| Don't Let Me Be Lonely Tonight                                                 |                 5 |
| Trouble In My Home                                                             |                 5 |
| Misty Blue                                                                     |                 5 |
| I'll Be Your Shelter (In Time Of Storm)                                        |                 5 |
| Giving Up                                                                      |                 5 |
| I Thank You                                                                    |                 5 |
| You're So Vain                                                                 |                 5 |
| Evil Ways                                                                      |                 5 |
| Them Changes                                                                   |                 5 |
| Woman To Woman                                                                 |                 5 |
| Vahevala                                                                       |                 5 |
| The Jean Genie                                                                 |                 5 |
| The People Tree                                                                |                 5 |
| Do What You Set Out To Do                                                      |                 5 |
| Me And Bobby McGee                                                             |                 5 |
| Since I Fell For You                                                           |                 5 |
| Open The Door (Song For Judith)                                                |                 5 |
| My Boy                                                                         |                 5 |
| Rockin' With The King                                                          |                 5 |
| I Could Never Be Happy                                                         |                 5 |
| Upsetter                                                                       |                 5 |
| One Monkey Don't Stop No Show (Part 1)                                         |                 5 |
| A Lonely Man                                                                   |                 5 |
| The Man And The Woman (The Boy And The Girl)                                   |                 5 |
| We Need Order                                                                  |                 5 |
| Hey Big Brother                                                                |                 5 |
| What'd I Say                                                                   |                 5 |
| Cotton Jenny                                                                   |                 5 |
| Dance, Dance, Dance                                                            |                 5 |
| Circles                                                                        |                 5 |
| Move 'Em Out                                                                   |                 5 |
| Baby Won't You Let Me Rock 'N Roll You                                         |                 5 |
| Hey Girl                                                                       |                 5 |
| I Knew You When                                                                |                 5 |
| What It Is                                                                     |                 5 |
| Cry                                                                            |                 5 |
| Money Back Guarantee                                                           |                 5 |
| Got To Be There                                                                |                 5 |
| Will You Still Love Me Tomorrow                                                |                 5 |
| Telegram Sam                                                                   |                 5 |
| The Cover Of "Rolling Stone"                                                   |                 5 |
| Annabelle                                                                      |                 5 |
| White Lies, Blue Eyes                                                          |                 5 |
| Day And Night                                                                  |                 5 |
| Iko Iko                                                                        |                 5 |
| I Don't Need No Doctor                                                         |                 5 |
| Lady Eleanor                                                                   |                 5 |
| Just As Long As You Need Me (Part 1)                                           |                 5 |
| Simple Song Of Freedom                                                         |                 5 |
| Summer Sun                                                                     |                 5 |
| Do Ya                                                                          |                 5 |
| Oh, Babe, What Would You Say                                                   |                 5 |
| Harry Hippie                                                                   |                 4 |
| George Jackson                                                                 |                 4 |
| Ain't That Loving You (For More Reasons Than One)                              |                 4 |
| I Only Have Eyes For You                                                       |                 4 |
| Nothing To Hide                                                                |                 4 |
| Tell 'Em Willie Boy's A'Comin'                                                 |                 4 |
| Cat's Eye In The Window                                                        |                 4 |
| Oh Me Oh My (I'm A Fool For You Baby)                                          |                 4 |
| Wholy Holy                                                                     |                 4 |
| Bedtime Story                                                                  |                 4 |
| I Found My Dad                                                                 |                 4 |
| Whatever Turns You On                                                          |                 4 |
| Crocodile Rock                                                                 |                 4 |
| Sweet Baby                                                                     |                 4 |
| Let Us Love                                                                    |                 4 |
| No Sad Song                                                                    |                 4 |
| Ride, Sally, Ride                                                              |                 4 |
| Music From Across The Way                                                      |                 4 |
| Silly Wasn't I                                                                 |                 4 |
| Eve                                                                            |                 4 |
| Didn't We                                                                      |                 4 |
| Speak Softly Love                                                              |                 4 |
| Mother Nature                                                                  |                 4 |
| Up In Heah                                                                     |                 4 |
| All I Ever Need Is You                                                         |                 4 |
| Sour Suite                                                                     |                 4 |
| How Could I Let You Get Away                                                   |                 4 |
| One Last Time                                                                  |                 4 |
| The Relay                                                                      |                 4 |
| The Mosquito                                                                   |                 4 |
| Pretty As You Feel                                                             |                 4 |
| Knock Knock Who's There                                                        |                 4 |
| Country Woman                                                                  |                 4 |
| An Old Fashioned Love Song                                                     |                 4 |
| School Teacher                                                                 |                 4 |
| Sittin' On A Time Bomb (Waitin' For The Hurt To Come)                          |                 4 |
| Have You Seen Her                                                              |                 4 |
| Bless The Beasts And The Children                                              |                 4 |
| Runaway And Happy Together                                                     |                 4 |
| Together Alone                                                                 |                 4 |
| Beg, Borrow Or Steal                                                           |                 4 |
| After All This Time                                                            |                 4 |
| One More Chance                                                                |                 4 |
| You Make Your Own Heaven And Hell Right Here                                   |                 4 |
| Cherish                                                                        |                 4 |
| Get Up And Get Down                                                            |                 4 |
| If I Could See The Light                                                       |                 4 |
| Take It Slow (Out In The Country)                                              |                 4 |
| Dinah Flo                                                                      |                 4 |
| Ain't Wastin' Time No More                                                     |                 4 |
| One Way Out                                                                    |                 4 |
| Getting It On                                                                  |                 4 |
| What Would The Children Think                                                  |                 4 |
| Daddy's Home                                                                   |                 4 |
| Me And My Baby Got A Good Thing Going                                          |                 4 |
| I Can't Turn You Loose                                                         |                 4 |
| Keep On Keeping On                                                             |                 4 |
| What A Wonderful Thing We Have                                                 |                 4 |
| (Love Me) Love The Life I Lead                                                 |                 4 |
| Deteriorata                                                                    |                 4 |
| It's Four In The Morning                                                       |                 4 |
| Suite: Man And Woman                                                           |                 4 |
| Love Jones                                                                     |                 4 |
| Trouble Man                                                                    |                 3 |
| Satisfaction                                                                   |                 3 |
| I Can't Stand To See You Cry                                                   |                 3 |
| You Got Me Walking                                                             |                 3 |
| I Received A Letter                                                            |                 3 |
| Mean Little Woman, Rosalie                                                     |                 3 |
| (They Long To Be) Close To You                                                 |                 3 |
| Rock And Roll Crazies                                                          |                 3 |
| An American Trilogy (Dixie/Battle Hymn Of the Republic/All My Trials) (Medley) |                 3 |
| Celebration                                                                    |                 3 |
| Keep On Running                                                                |                 3 |
| Sweet Sixteen                                                                  |                 3 |
| Friends With You                                                               |                 3 |
| Everyday                                                                       |                 3 |
| Carolyn                                                                        |                 3 |
| Taos, New Mexico                                                               |                 3 |
| You Were Made For Me                                                           |                 3 |
| (I Know) I'm Losing You                                                        |                 3 |
| Can I Get A Witness                                                            |                 3 |
| Keep On Doin' What You're Doin'                                                |                 3 |
| Amerikan Music                                                                 |                 3 |
| Sing A Song & Make Your Own Kind Of Music (Live)                               |                 3 |
| A Simple Game                                                                  |                 3 |
| Love Potion Number Nine                                                        |                 3 |
| Turn On Your Love Light                                                        |                 3 |
| Runnin' Back To Saskatoon (Live)                                               |                 3 |
| Behind Blue Eyes                                                               |                 3 |
| Step Out                                                                       |                 3 |
| Too Beautiful To Last                                                          |                 3 |
| It's All Up To You                                                             |                 3 |
| Respect Yourself                                                               |                 3 |
| Tell Me This Is A Dream                                                        |                 3 |
| If We Only Have Love                                                           |                 3 |
| All His Children                                                               |                 3 |
| Looking Through The Eyes Of Love                                               |                 3 |
| Vaya Con Dios                                                                  |                 3 |
| Truckin'                                                                       |                 3 |
| Last Song                                                                      |                 3 |
| Song Seller                                                                    |                 3 |
| Choo Choo Mama                                                                 |                 3 |
| Devil You                                                                      |                 3 |
| Shake Off The Demon                                                            |                 3 |
| So Many People                                                                 |                 3 |
| Hallelujah                                                                     |                 3 |
| Ain't That Peculiar                                                            |                 3 |
| Mendelssohn's 4th (Second Movement)                                            |                 3 |
| Hey, You Love                                                                  |                 3 |
| Jesus Is Just Alright                                                          |                 3 |
| Hi, Hi, Hi                                                                     |                 3 |
| Lonesome Mary                                                                  |                 3 |
| Buzzy Brown                                                                    |                 3 |
| Fool's Paradise                                                                |                 3 |
| Da Doo Ron Ron (When He Walked Me Home)                                        |                 3 |
| Bring It Home (And Give It To Me)                                              |                 3 |
| What My Baby Needs Now Is A Little More Lovin'                                 |                 2 |
| Stones                                                                         |                 2 |
| Crunchy Granola Suite                                                          |                 2 |
| Redwood Tree                                                                   |                 2 |
| He's An Indian Cowboy In The Rodeo                                             |                 2 |
| Mama Told Me Not To Come                                                       |                 2 |
| Theme From "Shaft"                                                             |                 2 |
| Brandy                                                                         |                 2 |
| Don't Ever Take Away My Freedom                                                |                 2 |
| Me And Jesus                                                                   |                 2 |
| Couldn't I Just Tell You                                                       |                 2 |
| Boogie Woogie Man                                                              |                 2 |
| Sugaree                                                                        |                 2 |
| Hushabye                                                                       |                 2 |
| Where Did Our Love Go                                                          |                 2 |
| Nobody But You                                                                 |                 2 |
| Dreidel                                                                        |                 2 |
| Together Again                                                                 |                 2 |
| Superstar (Remember How You Got Where You Are)                                 |                 2 |
| Anthem                                                                         |                 2 |
| Happier Than The Morning Sun                                                   |                 2 |
| Tightrope Ride                                                                 |                 2 |
| Rock & Roll Stew (Part 1)                                                      |                 2 |
| Remember (Christmas)                                                           |                 2 |
| Baby I'm-A Want You                                                            |                 2 |
| The Road We Didn't Take                                                        |                 2 |
| Where There's A Will, There's A Way                                            |                 2 |
| You've Got To Take It (If You Want It)                                         |                 2 |
| Oh No, Not My Baby                                                             |                 2 |
| I'm Never Gonna Be Alone Anymore                                               |                 2 |
| Theme From "Summer Of 42"                                                      |                 2 |
| I Just Wanna Be Your Friend                                                    |                 2 |
| Melissa                                                                        |                 2 |
| Get Out Of Bed                                                                 |                 2 |
| Don't Want To Say Goodbye                                                      |                 2 |
| Willpower Weak, Temptation Strong                                              |                 2 |
| Southbound Train                                                               |                 2 |
| Pass The Peas                                                                  |                 2 |
| I Got A Thing About You Baby                                                   |                 2 |
| Dedicated To The One I Love                                                    |                 2 |
| It's The Same Old Love                                                         |                 2 |
| Roberta                                                                        |                 2 |
| One Way Sunday                                                                 |                 2 |
